dataset,subtype,top_nouns,top_patterns,top_verbs,total,unique_nouns,unique_prepositions,unique_verbs
benchmark,object_relative_clause_plural_embedded_that,"[[""pilot"", 4], [""clerks"", 4], [""girls"", 3], [""dog"", 2], [""scientist"", 2]]","[[""object_relative_clause_plural_embedded_that|dog+singers|like+dances|"", 1], [""object_relative_clause_plural_embedded_that|pilot+girls|support+reads|"", 1], [""object_relative_clause_plural_embedded_that|scientist+clerks|teach+waits|"", 1], [""object_relative_clause_plural_embedded_that|author+clerks|observe+writes|"", 1], [""object_relative_clause_plural_embedded_that|scientist+clerks|help+laughs|"", 1]]","[[""support"", 3], [""like"", 2], [""reads"", 2], [""teach"", 2], [""waits"", 2]]",16,19,0,21
benchmark,object_relative_clause_plural_embedded_who,"[[""boy"", 3], [""mechanics"", 3], [""judge"", 3], [""brokers"", 2], [""artists"", 2]]","[[""object_relative_clause_plural_embedded_who|boy+librarians|support+arrives|"", 1], [""object_relative_clause_plural_embedded_who|nurse+mechanics|observe+speaks|"", 1], [""object_relative_clause_plural_embedded_who|boy+brokers|support+dances|"", 1], [""object_relative_clause_plural_embedded_who|judge+artists|follow+answers|"", 1], [""object_relative_clause_plural_embedded_who|chef+singers|trust+notices|"", 1]]","[[""support"", 3], [""arrives"", 2], [""follow"", 2], [""trust"", 2], [""writes"", 2]]",16,22,0,23
benchmark,object_relative_clause_that,"[[""guard"", 2], [""artist"", 2], [""dog"", 2], [""broker"", 2], [""boy"", 2]]","[[""object_relative_clause_that|guard+artist|follows+travels|"", 1], [""object_relative_clause_that|dog+broker|helps+listens|"", 1], [""object_relative_clause_that|boy+neighbor|teaches+travels|"", 1], [""object_relative_clause_that|judge+mechanic|likes+sleeps|"", 1], [""object_relative_clause_that|dog+doctor|supports+waits|"", 1]]","[[""teaches"", 3], [""travels"", 2], [""helps"", 2], [""sleeps"", 2], [""supports"", 2]]",16,22,0,23
benchmark,object_relative_clause_who,"[[""teacher"", 3], [""girl"", 3], [""guard"", 3], [""actor"", 2], [""artist"", 2]]","[[""object_relative_clause_who|actor+broker|observes+travels|"", 1], [""object_relative_clause_who|teacher+mechanic|likes+answers|"", 1], [""object_relative_clause_who|teacher+artist|trusts+listens|"", 1], [""object_relative_clause_who|nurse+clerk|sees+laughs|"", 1], [""object_relative_clause_who|judge+girl|trusts+writes|"", 1]]","[[""travels"", 3], [""trusts"", 3], [""observes"", 2], [""listens"", 2], [""laughs"", 2]]",16,18,0,20
benchmark,plural_object_relative_clause_that,"[[""broker"", 3], [""nurses"", 2], [""pilots"", 2], [""doctor"", 2], [""students"", 2]]","[[""plural_object_relative_clause_that|nurses+broker|questions+arrive|"", 1], [""plural_object_relative_clause_that|teachers+farmer|calls+smile|"", 1], [""plural_object_relative_clause_that|nurses+mechanic|helps+smile|"", 1], [""plural_object_relative_clause_that|pilots+doctor|questions+return|"", 1], [""plural_object_relative_clause_that|students+broker|knows+run|"", 1]]","[[""smile"", 3], [""knows"", 3], [""observes"", 3], [""questions"", 2], [""arrive"", 2]]",16,22,0,20
benchmark,pp_plural_attractor_behind,"[[""students"", 3], [""judge"", 2], [""reports"", 2], [""dog"", 2], [""gardens"", 1]]","[[""pp_plural_attractor_behind|judge+gardens|opens|behind"", 1], [""pp_plural_attractor_behind|judge+cabinets|travels|behind"", 1], [""pp_plural_attractor_behind|reporter+students|arrives|behind"", 1], [""pp_plural_attractor_behind|manager+students|opens|behind"", 1], [""pp_plural_attractor_behind|chef+reports|works|behind"", 1]]","[[""opens"", 2], [""travels"", 1], [""arrives"", 1], [""works"", 1], [""writes"", 1]]",10,15,1,9
benchmark,pp_plural_attractor_beside,"[[""students"", 3], [""robot"", 2], [""cabinets"", 2], [""maps"", 2], [""boy"", 1]]","[[""pp_plural_attractor_beside|boy+students|works|beside"", 1], [""pp_plural_attractor_beside|robot+cabinets|notices|beside"", 1], [""pp_plural_attractor_beside|nurse+gardens|works|beside"", 1], [""pp_plural_attractor_beside|robot+cabinets|closes|beside"", 1], [""pp_plural_attractor_beside|manager+students|dances|beside"", 1]]","[[""works"", 2], [""notices"", 2], [""runs"", 2], [""closes"", 1], [""dances"", 1]]",10,15,1,7
benchmark,pp_plural_attractor_near,"[[""reports"", 3], [""cabinets"", 2], [""computers"", 2], [""boy"", 1], [""keys"", 1]]","[[""pp_plural_attractor_near|boy+keys|studies|near"", 1], [""pp_plural_attractor_near|musician+reports|moves|near"", 1], [""pp_plural_attractor_near|driver+reports|closes|near"", 1], [""pp_plural_attractor_near|guard+cabinets|runs|near"", 1], [""pp_plural_attractor_near|author+cabinets|answers|near"", 1]]","[[""studies"", 2], [""moves"", 1], [""closes"", 1], [""runs"", 1], [""answers"", 1]]",10,16,1,9
benchmark,pp_plural_attractor_with,"[[""students"", 3], [""paintings"", 2], [""judge"", 1], [""reports"", 1], [""scientist"", 1]]","[[""pp_plural_attractor_with|judge+reports|reads|with"", 1], [""pp_plural_attractor_with|scientist+students|runs|with"", 1], [""pp_plural_attractor_with|nurse+paintings|laughs|with"", 1], [""pp_plural_attractor_with|musician+instruments|smiles|with"", 1], [""pp_plural_attractor_with|chef+students|answers|with"", 1]]","[[""answers"", 3], [""reads"", 2], [""smiles"", 2], [""runs"", 1], [""laughs"", 1]]",10,17,1,6
benchmark,pp_singular_attractor_behind,"[[""report"", 3], [""actors"", 2], [""map"", 2], [""book"", 2], [""car"", 1]]","[[""pp_singular_attractor_behind|actors+car|return|behind"", 1], [""pp_singular_attractor_behind|actors+report|open|behind"", 1], [""pp_singular_attractor_behind|managers+report|return|behind"", 1], [""pp_singular_attractor_behind|birds+map|listen|behind"", 1], [""pp_singular_attractor_behind|drivers+instrument|listen|behind"", 1]]","[[""return"", 3], [""open"", 2], [""listen"", 2], [""notice"", 2], [""sleep"", 1]]",10,15,1,5
benchmark,pp_singular_attractor_beside,"[[""cabinet"", 2], [""garden"", 2], [""report"", 2], [""chefs"", 2], [""robots"", 1]]","[[""pp_singular_attractor_beside|robots+computer|return|beside"", 1], [""pp_singular_attractor_beside|reporters+cabinet|work|beside"", 1], [""pp_singular_attractor_beside|managers+garden|wait|beside"", 1], [""pp_singular_attractor_beside|pilots+report|arrive|beside"", 1], [""pp_singular_attractor_beside|chefs+garden|wait|beside"", 1]]","[[""return"", 2], [""wait"", 2], [""work"", 1], [""arrive"", 1], [""speak"", 1]]",10,16,1,8
benchmark,pp_singular_attractor_near,"[[""authors"", 2], [""student"", 2], [""car"", 2], [""cabinet"", 1], [""writers"", 1]]","[[""pp_singular_attractor_near|authors+cabinet|dance|near"", 1], [""pp_singular_attractor_near|writers+letter|answer|near"", 1], [""pp_singular_attractor_near|authors+student|smile|near"", 1], [""pp_singular_attractor_near|teachers+student|read|near"", 1], [""pp_singular_attractor_near|dancers+car|dance|near"", 1]]","[[""dance"", 2], [""answer"", 1], [""smile"", 1], [""read"", 1], [""laugh"", 1]]",10,17,1,9
benchmark,pp_singular_attractor_with,"[[""garden"", 2], [""key"", 2], [""pilots"", 1], [""birds"", 1], [""computer"", 1]]","[[""pp_singular_attractor_with|pilots+garden|read|with"", 1], [""pp_singular_attractor_with|birds+computer|notice|with"", 1], [""pp_singular_attractor_with|reporters+car|notice|with"", 1], [""pp_singular_attractor_with|authors+garden|study|with"", 1], [""pp_singular_attractor_with|guards+instrument|work|with"", 1]]","[[""notice"", 2], [""work"", 2], [""answer"", 2], [""read"", 1], [""study"", 1]]",10,18,1,7
benchmark,simple_plural,"[[""boys"", 5], [""judges"", 5], [""drivers"", 4], [""musicians"", 3], [""pilots"", 3]]","[[""simple_plural|boys|dance|"", 2], [""simple_plural|judges|move|"", 2], [""simple_plural|actors|sleep|"", 2], [""simple_plural|writers|run|"", 1], [""simple_plural|musicians|answer|"", 1]]","[[""run"", 5], [""dance"", 4], [""write"", 4], [""close"", 3], [""answer"", 2]]",40,17,0,18
benchmark,simple_singular,"[[""musician"", 5], [""writer"", 4], [""chef"", 4], [""author"", 4], [""student"", 3]]","[[""simple_singular|chef|runs|"", 2], [""simple_singular|robot|answers|"", 2], [""simple_singular|musician|travels|"", 1], [""simple_singular|writer|answers|"", 1], [""simple_singular|teacher|studies|"", 1]]","[[""answers"", 5], [""notices"", 5], [""runs"", 4], [""travels"", 3], [""closes"", 3]]",40,18,0,17
rl,object_relative_clause_plural_embedded_that,"[[""manager"", 4], [""doctors"", 3], [""visitors"", 3], [""teacher"", 2], [""neighbors"", 2]]","[[""object_relative_clause_plural_embedded_that|teacher+neighbors|follow+speaks|"", 1], [""object_relative_clause_plural_embedded_that|dog+doctors|support+moves|"", 1], [""object_relative_clause_plural_embedded_that|musician+artists|trust+studies|"", 1], [""object_relative_clause_plural_embedded_that|scientist+neighbors|call+speaks|"", 1], [""object_relative_clause_plural_embedded_that|teacher+artists|guide+writes|"", 1]]","[[""moves"", 4], [""call"", 3], [""follow"", 2], [""speaks"", 2], [""support"", 2]]",16,21,0,20
rl,object_relative_clause_plural_embedded_who,"[[""visitors"", 3], [""farmers"", 3], [""student"", 3], [""boy"", 2], [""writer"", 2]]","[[""object_relative_clause_plural_embedded_who|nurse+visitors|see+notices|"", 1], [""object_relative_clause_plural_embedded_who|author+mechanics|call+moves|"", 1], [""object_relative_clause_plural_embedded_who|judge+visitors|know+listens|"", 1], [""object_relative_clause_plural_embedded_who|boy+neighbors|call+opens|"", 1], [""object_relative_clause_plural_embedded_who|writer+librarians|trust+returns|"", 1]]","[[""moves"", 5], [""follow"", 3], [""question"", 3], [""notices"", 2], [""call"", 2]]",16,21,0,19
rl,object_relative_clause_that,"[[""neighbor"", 4], [""lawyer"", 3], [""nurse"", 3], [""mechanic"", 2], [""guard"", 2]]","[[""object_relative_clause_that|chef+mechanic|calls+studies|"", 1], [""object_relative_clause_that|bird+visitor|knows+opens|"", 1], [""object_relative_clause_that|guard+lawyer|supports+notices|"", 1], [""object_relative_clause_that|nurse+farmer|guides+moves|"", 1], [""object_relative_clause_that|scientist+doctor|follows+laughs|"", 1]]","[[""moves"", 3], [""sees"", 3], [""likes"", 3], [""opens"", 2], [""guides"", 2]]",16,19,0,21
rl,object_relative_clause_who,"[[""nurse"", 3], [""mechanic"", 3], [""author"", 3], [""coach"", 2], [""editor"", 2]]","[[""object_relative_clause_who|actor+coach|supports+travels|"", 1], [""object_relative_clause_who|driver+broker|guides+studies|"", 1], [""object_relative_clause_who|nurse+mechanic|sees+opens|"", 1], [""object_relative_clause_who|scientist+coach|calls+speaks|"", 1], [""object_relative_clause_who|author+editor|observes+sleeps|"", 1]]","[[""studies"", 3], [""opens"", 3], [""supports"", 2], [""travels"", 2], [""observes"", 2]]",16,22,0,21
rl,plural_object_relative_clause_that,"[[""editor"", 4], [""chefs"", 3], [""dancers"", 2], [""singer"", 2], [""artist"", 2]]","[[""plural_object_relative_clause_that|dancers+farmer|likes+close|"", 1], [""plural_object_relative_clause_that|scientists+lawyer|guides+wait|"", 1], [""plural_object_relative_clause_that|chefs+singer|follows+wait|"", 1], [""plural_object_relative_clause_that|birds+editor|calls+run|"", 1], [""plural_object_relative_clause_that|nurses+artist|calls+sleep|"", 1]]","[[""calls"", 4], [""guides"", 3], [""follows"", 3], [""smile"", 3], [""close"", 2]]",16,22,0,18
rl,pp_plural_attractor_behind,"[[""writer"", 2], [""actor"", 2], [""keys"", 2], [""cars"", 1], [""gardens"", 1]]","[[""pp_plural_attractor_behind|writer+cars|travels|behind"", 1], [""pp_plural_attractor_behind|writer+gardens|closes|behind"", 1], [""pp_plural_attractor_behind|actor+keys|listens|behind"", 1], [""pp_plural_attractor_behind|author+maps|opens|behind"", 1], [""pp_plural_attractor_behind|actor+cabinets|answers|behind"", 1]]","[[""closes"", 2], [""moves"", 2], [""travels"", 1], [""listens"", 1], [""opens"", 1]]",10,17,1,8
rl,pp_plural_attractor_beside,"[[""reports"", 3], [""computers"", 3], [""cars"", 2], [""robot"", 2], [""author"", 1]]","[[""pp_plural_attractor_beside|author+reports|speaks|beside"", 1], [""pp_plural_attractor_beside|judge+instruments|waits|beside"", 1], [""pp_plural_attractor_beside|nurse+keys|opens|beside"", 1], [""pp_plural_attractor_beside|pilot+computers|sleeps|beside"", 1], [""pp_plural_attractor_beside|writer+computers|runs|beside"", 1]]","[[""returns"", 2], [""speaks"", 1], [""waits"", 1], [""opens"", 1], [""sleeps"", 1]]",10,14,1,9
rl,pp_plural_attractor_near,"[[""nurse"", 2], [""writer"", 2], [""maps"", 2], [""cabinets"", 2], [""keys"", 2]]","[[""pp_plural_attractor_near|nurse+cars|reads|near"", 1], [""pp_plural_attractor_near|writer+maps|closes|near"", 1], [""pp_plural_attractor_near|guard+cabinets|notices|near"", 1], [""pp_plural_attractor_near|scientist+keys|opens|near"", 1], [""pp_plural_attractor_near|writer+keys|arrives|near"", 1]]","[[""reads"", 1], [""closes"", 1], [""notices"", 1], [""opens"", 1], [""arrives"", 1]]",10,14,1,10
rl,pp_plural_attractor_with,"[[""letters"", 2], [""robot"", 2], [""driver"", 1], [""actor"", 1], [""computers"", 1]]","[[""pp_plural_attractor_with|driver+letters|opens|with"", 1], [""pp_plural_attractor_with|actor+computers|opens|with"", 1], [""pp_plural_attractor_with|student+cabinets|travels|with"", 1], [""pp_plural_attractor_with|robot+keys|sleeps|with"", 1], [""pp_plural_attractor_with|author+letters|listens|with"", 1]]","[[""opens"", 3], [""listens"", 2], [""travels"", 1], [""sleeps"", 1], [""works"", 1]]",10,18,1,7
rl,pp_singular_attractor_behind,"[[""map"", 3], [""instrument"", 2], [""computer"", 2], [""authors"", 2], [""reporters"", 2]]","[[""pp_singular_attractor_behind|judges+instrument|arrive|behind"", 1], [""pp_singular_attractor_behind|writers+computer|listen|behind"", 1], [""pp_singular_attractor_behind|teachers+map|work|behind"", 1], [""pp_singular_attractor_behind|authors+computer|listen|behind"", 1], [""pp_singular_attractor_behind|dogs+map|wait|behind"", 1]]","[[""listen"", 2], [""arrive"", 1], [""work"", 1], [""wait"", 1], [""move"", 1]]",10,14,1,9
rl,pp_singular_attractor_beside,"[[""map"", 5], [""authors"", 2], [""teachers"", 2], [""book"", 2], [""key"", 1]]","[[""pp_singular_attractor_beside|authors+map|answer|beside"", 1], [""pp_singular_attractor_beside|authors+map|smile|beside"", 1], [""pp_singular_attractor_beside|teachers+key|arrive|beside"", 1], [""pp_singular_attractor_beside|students+letter|move|beside"", 1], [""pp_singular_attractor_beside|dancers+map|dance|beside"", 1]]","[[""smile"", 2], [""move"", 2], [""write"", 2], [""answer"", 1], [""arrive"", 1]]",10,13,1,7
rl,pp_singular_attractor_near,"[[""scientists"", 2], [""letter"", 2], [""authors"", 2], [""garden"", 1], [""reporters"", 1]]","[[""pp_singular_attractor_near|scientists+letter|open|near"", 1], [""pp_singular_attractor_near|scientists+garden|notice|near"", 1], [""pp_singular_attractor_near|reporters+report|wait|near"", 1], [""pp_singular_attractor_near|guards+letter|listen|near"", 1], [""pp_singular_attractor_near|drivers+map|read|near"", 1]]","[[""open"", 2], [""notice"", 1], [""wait"", 1], [""listen"", 1], [""read"", 1]]",10,17,1,9
rl,pp_singular_attractor_with,"[[""cabinet"", 3], [""drivers"", 3], [""report"", 2], [""authors"", 1], [""birds"", 1]]","[[""pp_singular_attractor_with|authors+cabinet|notice|with"", 1], [""pp_singular_attractor_with|birds+report|travel|with"", 1], [""pp_singular_attractor_with|nurses+book|listen|with"", 1], [""pp_singular_attractor_with|drivers+map|work|with"", 1], [""pp_singular_attractor_with|drivers+report|answer|with"", 1]]","[[""work"", 2], [""notice"", 1], [""travel"", 1], [""listen"", 1], [""answer"", 1]]",10,15,1,9
rl,simple_plural,"[[""students"", 5], [""musicians"", 5], [""authors"", 4], [""dancers"", 3], [""writers"", 3]]","[[""simple_plural|dogs|arrive|"", 1], [""simple_plural|teachers|work|"", 1], [""simple_plural|dogs|work|"", 1], [""simple_plural|dancers|arrive|"", 1], [""simple_plural|writers|arrive|"", 1]]","[[""arrive"", 7], [""answer"", 7], [""work"", 5], [""read"", 4], [""travel"", 3]]",40,17,0,12
rl,simple_singular,"[[""manager"", 4], [""dog"", 4], [""robot"", 3], [""pilot"", 3], [""bird"", 3]]","[[""simple_singular|musician|opens|"", 1], [""simple_singular|robot|opens|"", 1], [""simple_singular|robot|studies|"", 1], [""simple_singular|scientist|speaks|"", 1], [""simple_singular|actor|speaks|"", 1]]","[[""speaks"", 7], [""opens"", 6], [""closes"", 6], [""studies"", 5], [""laughs"", 4]]",40,18,0,9
