grammatical_score,lexical_pattern,pair_id,preference_margin,sentence_bad,sentence_good,subtype,template_type,ungrammatical_score
-10.851242065429688,pp_singular_attractor_with|students+cabinet|write|with,rl_dist_0156,-0.015062967936197325,The students with the cabinet writes.,The students with the cabinet write.,pp_singular_attractor_with,pp_attractor,-10.83617909749349
-10.850303649902344,pp_singular_attractor_beside|teachers+cabinet|write|beside,rl_dist_0139,-0.0150616963704433,The teachers beside the cabinet writes.,The teachers beside the cabinet write.,pp_singular_attractor_beside,pp_attractor,-10.8352419535319
-10.812689463297525,pp_plural_attractor_near|robot+paintings|writes|near,rl_dist_0109,-0.014718373616535274,The robot near the paintings write.,The robot near the paintings writes.,pp_plural_attractor_near,pp_attractor,-10.79797108968099
-10.822199503580729,simple_plural|guards|answer|,rl_dist_0189,-0.014527638753254024,The guards answers.,The guards answer.,simple_plural,simple_agreement,-10.807671864827475
-10.82684326171875,simple_plural|reporters|answer|,rl_dist_0178,-0.014132181803384825,The reporters answers.,The reporters answer.,simple_plural,simple_agreement,-10.812711079915365
-10.831634521484375,simple_plural|managers|answer|,rl_dist_0194,-0.0140533447265625,The managers answers.,The managers answer.,simple_plural,simple_agreement,-10.817581176757812
-10.834111531575521,simple_plural|drivers|answer|,rl_dist_0183,-0.014034271240234375,The drivers answers.,The drivers answer.,simple_plural,simple_agreement,-10.820077260335287
-10.838935852050781,simple_plural|birds|answer|,rl_dist_0199,-0.01401646931966205,The birds answers.,The birds answer.,simple_plural,simple_agreement,-10.82491938273112
-10.83865229288737,simple_plural|authors|answer|,rl_dist_0197,-0.01401519775390625,The authors answers.,The authors answer.,simple_plural,simple_agreement,-10.824637095133463
-10.841874440511068,simple_plural|boys|answer|,rl_dist_0181,-0.0140088399251308,The boys answers.,The boys answer.,simple_plural,simple_agreement,-10.827865600585938
-10.850898742675781,pp_singular_attractor_beside|pilots+map|write|beside,rl_dist_0138,-0.01384735107421875,The pilots beside the map writes.,The pilots beside the map write.,pp_singular_attractor_beside,pp_attractor,-10.837051391601562
-10.821825663248697,simple_plural|writers|smile|,rl_dist_0187,-0.013399759928384825,The writers smiles.,The writers smile.,simple_plural,simple_agreement,-10.808425903320312
-10.83615493774414,simple_plural|musicians|smile|,rl_dist_0192,-0.013089497884115175,The musicians smiles.,The musicians smile.,simple_plural,simple_agreement,-10.823065439860025
-10.820078531901041,simple_plural|students|read|,rl_dist_0188,-0.012986501057941524,The students reads.,The students read.,simple_plural,simple_agreement,-10.8070920308431
-10.807599385579428,simple_singular|writer|closes|,rl_dist_0230,-0.012852986653646425,The writer close.,The writer closes.,simple_singular,simple_agreement,-10.794746398925781
-10.820121765136719,simple_plural|scientists|read|,rl_dist_0185,-0.0126635233561192,The scientists reads.,The scientists read.,simple_plural,simple_agreement,-10.8074582417806
-10.81830088297526,simple_plural|students|wait|,rl_dist_0176,-0.012401580810546875,The students waits.,The students wait.,simple_plural,simple_agreement,-10.805899302164713
-10.821739196777344,simple_plural|guards|read|,rl_dist_0182,-0.011844635009765625,The guards reads.,The guards read.,simple_plural,simple_agreement,-10.809894561767578
-10.836287180582682,simple_plural|musicians|wait|,rl_dist_0195,-0.01169459025065045,The musicians waits.,The musicians wait.,simple_plural,simple_agreement,-10.824592590332031
-10.83032480875651,simple_plural|chefs|read|,rl_dist_0175,-0.011533101399738399,The chefs reads.,The chefs read.,simple_plural,simple_agreement,-10.818791707356771
-10.836181640625,simple_plural|authors|run|,rl_dist_0177,-0.01114654541015625,The authors runs.,The authors run.,simple_plural,simple_agreement,-10.825035095214844
-10.835299173990885,simple_plural|musicians|run|,rl_dist_0193,-0.011144002278644649,The musicians runs.,The musicians run.,simple_plural,simple_agreement,-10.82415517171224
-10.823036193847656,simple_singular|guard|laughs|,rl_dist_0219,-0.0103899637858067,The guard laugh.,The guard laughs.,simple_singular,simple_agreement,-10.81264623006185
-10.827139536539713,simple_singular|pilot|laughs|,rl_dist_0225,-0.010241190592447325,The pilot laugh.,The pilot laughs.,simple_singular,simple_agreement,-10.816898345947266
-10.836558024088541,simple_singular|dog|laughs|,rl_dist_0236,-0.010152180989582149,The dog laugh.,The dog laughs.,simple_singular,simple_agreement,-10.826405843098959
-10.83752695719401,simple_singular|reporter|laughs|,rl_dist_0238,-0.010148366292316524,The reporter laugh.,The reporter laughs.,simple_singular,simple_agreement,-10.827378590901693
-10.825824737548828,simple_singular|manager|listens|,rl_dist_0222,-0.009722391764322325,The manager listen.,The manager listens.,simple_singular,simple_agreement,-10.816102345784506
-10.829349517822266,simple_singular|bird|listens|,rl_dist_0220,-0.00968297322591205,The bird listen.,The bird listens.,simple_singular,simple_agreement,-10.819666544596354
-10.817188807896205,plural_object_relative_clause_that|chefs+editor|observes+write|,rl_dist_0077,-0.009638105119977425,The chefs that the editor observes writes.,The chefs that the editor observes write.,plural_object_relative_clause_that,relative_clause,-10.807550702776227
-10.822442372639975,simple_plural|dancers|return|,rl_dist_0186,-0.008930206298828125,The dancers returns.,The dancers return.,simple_plural,simple_agreement,-10.813512166341146
-10.834009806315104,simple_plural|musicians|return|,rl_dist_0184,-0.008677164713541075,The musicians returns.,The musicians return.,simple_plural,simple_agreement,-10.825332641601562
-10.818799336751303,simple_plural|students|run|,rl_dist_0198,-0.008206685384115175,The students runs.,The students run.,simple_plural,simple_agreement,-10.810592651367188
-10.830450693766275,pp_plural_attractor_beside|robot+reports|returns|beside,rl_dist_0098,-0.007836659749347774,The robot beside the reports return.,The robot beside the reports returns.,pp_plural_attractor_beside,pp_attractor,-10.822614034016928
-10.818196614583334,simple_singular|chef|closes|,rl_dist_0221,-0.007825215657552675,The chef close.,The chef closes.,simple_singular,simple_agreement,-10.810371398925781
-10.820040384928385,simple_singular|nurse|closes|,rl_dist_0227,-0.0078074137369785745,The nurse close.,The nurse closes.,simple_singular,simple_agreement,-10.812232971191406
-10.822519938151041,simple_singular|dancer|closes|,rl_dist_0217,-0.007794698079425899,The dancer close.,The dancer closes.,simple_singular,simple_agreement,-10.814725240071615
-10.822816212972006,simple_singular|pilot|closes|,rl_dist_0216,-0.007793426513671875,The pilot close.,The pilot closes.,simple_singular,simple_agreement,-10.815022786458334
-10.83081309000651,simple_singular|author|closes|,rl_dist_0223,-0.0077768961588535745,The author close.,The author closes.,simple_singular,simple_agreement,-10.823036193847656
-10.81552759806315,pp_singular_attractor_near|authors+instrument|laugh|near,rl_dist_0150,-0.007099151611328125,The authors near the instrument laughs.,The authors near the instrument laugh.,pp_singular_attractor_near,pp_attractor,-10.808428446451822
-10.83429209391276,pp_singular_attractor_with|managers+instrument|laugh|with,rl_dist_0157,-0.007099151611328125,The managers with the instrument laughs.,The managers with the instrument laugh.,pp_singular_attractor_with,pp_attractor,-10.827192942301432
-10.824019114176432,pp_plural_attractor_near|nurse+maps|laughs|near,rl_dist_0108,-0.006944020589191524,The nurse near the maps laugh.,The nurse near the maps laughs.,pp_plural_attractor_near,pp_attractor,-10.81707509358724
-10.810050964355469,pp_singular_attractor_behind|reporters+car|laugh|behind,rl_dist_0127,-0.006927490234375,The reporters behind the car laughs.,The reporters behind the car laugh.,pp_singular_attractor_behind,pp_attractor,-10.803123474121094
-10.814700535365514,plural_object_relative_clause_that|writers+doctor|calls+smile|,rl_dist_0078,-0.006710597446987876,The writers that the doctor calls smiles.,The writers that the doctor calls smile.,plural_object_relative_clause_that,relative_clause,-10.807989937918526
-10.825609842936197,pp_plural_attractor_with|writer+reports|works|with,rl_dist_0116,-0.0065294901529941995,The writer with the reports work.,The writer with the reports works.,pp_plural_attractor_with,pp_attractor,-10.819080352783203
-10.831960042317709,pp_plural_attractor_behind|teacher+letters|moves|behind,rl_dist_0089,-0.0065167744954433005,The teacher behind the letters move.,The teacher behind the letters moves.,pp_plural_attractor_behind,pp_attractor,-10.825443267822266
-10.836434682210287,pp_plural_attractor_near|teacher+letters|moves|near,rl_dist_0106,-0.0065167744954433005,The teacher near the letters move.,The teacher near the letters moves.,pp_plural_attractor_near,pp_attractor,-10.829917907714844
-10.818792978922525,pp_singular_attractor_beside|students+letter|move|beside,rl_dist_0134,-0.00644683837890625,The students beside the letter moves.,The students beside the letter move.,pp_singular_attractor_beside,pp_attractor,-10.81234614054362
-10.806182861328125,pp_singular_attractor_behind|robots+instrument|move|behind,rl_dist_0126,-0.006427764892578125,The robots behind the instrument moves.,The robots behind the instrument move.,pp_singular_attractor_behind,pp_attractor,-10.799755096435547
-10.833482106526693,pp_singular_attractor_beside|dogs+book|move|beside,rl_dist_0137,-0.0063947041829433005,The dogs beside the book moves.,The dogs beside the book move.,pp_singular_attractor_beside,pp_attractor,-10.82708740234375
-10.850237528483072,pp_singular_attractor_with|chefs+garden|work|with,rl_dist_0159,-0.0063273111979160745,The chefs with the garden works.,The chefs with the garden work.,pp_singular_attractor_with,pp_attractor,-10.843910217285156
-10.82064692179362,pp_plural_attractor_behind|robot+keys|moves|behind,rl_dist_0088,-0.0063158671061191995,The robot behind the keys move.,The robot behind the keys moves.,pp_plural_attractor_behind,pp_attractor,-10.8143310546875
-10.819584437779017,plural_object_relative_clause_that|actors+editor|trusts+smile|,rl_dist_0079,-0.006280081612722199,The actors that the editor trusts smiles.,The actors that the editor trusts smile.,plural_object_relative_clause_that,relative_clause,-10.813304356166295
-10.803650992257255,plural_object_relative_clause_that|actors+broker|remembers+smile|,rl_dist_0075,-0.006270272391184051,The actors that the broker remembers smiles.,The actors that the broker remembers smile.,plural_object_relative_clause_that,relative_clause,-10.797380719866071
-10.816919599260602,plural_object_relative_clause_that|dogs+mechanic|calls+dance|,rl_dist_0073,-0.006227765764508675,The dogs that the mechanic calls dances.,The dogs that the mechanic calls dance.,plural_object_relative_clause_that,relative_clause,-10.810691833496094
-10.814977010091146,simple_plural|students|work|,rl_dist_0174,-0.006182352701824101,The students works.,The students work.,simple_plural,simple_agreement,-10.808794657389322
-10.850695292154947,pp_singular_attractor_with|drivers+map|work|with,rl_dist_0154,-0.006020863850910274,The drivers with the map works.,The drivers with the map work.,pp_singular_attractor_with,pp_attractor,-10.844674428304037
-10.818684895833334,pp_singular_attractor_behind|teachers+map|work|behind,rl_dist_0123,-0.006008148193359375,The teachers behind the map works.,The teachers behind the map work.,pp_singular_attractor_behind,pp_attractor,-10.812676747639975
-10.862046559651693,pp_plural_attractor_with|author+letters|listens|with,rl_dist_0115,-0.005779266357421875,The author with the letters listen.,The author with the letters listens.,pp_plural_attractor_with,pp_attractor,-10.856267293294271
-10.828322092692057,pp_plural_attractor_behind|dancer+students|runs|behind,rl_dist_0086,-0.0056978861490879495,The dancer behind the students run.,The dancer behind the students runs.,pp_plural_attractor_behind,pp_attractor,-10.822624206542969
-10.801658630371094,pp_singular_attractor_near|guards+letter|listen|near,rl_dist_0144,-0.0056978861490879495,The guards near the letter listens.,The guards near the letter listen.,pp_singular_attractor_near,pp_attractor,-10.795960744222006
-10.848426818847656,pp_plural_attractor_with|chef+students|listens|with,rl_dist_0117,-0.005680084228515625,The chef with the students listen.,The chef with the students listens.,pp_plural_attractor_with,pp_attractor,-10.84274673461914
-10.836621602376303,pp_singular_attractor_with|nurses+book|listen|with,rl_dist_0153,-0.005649566650390625,The nurses with the book listens.,The nurses with the book listen.,pp_singular_attractor_with,pp_attractor,-10.830972035725912
-10.831476847330729,pp_plural_attractor_behind|actor+keys|listens|behind,rl_dist_0083,-0.005601247151691524,The actor behind the keys listen.,The actor behind the keys listens.,pp_plural_attractor_behind,pp_attractor,-10.825875600179037
-10.80740229288737,pp_singular_attractor_behind|writers+computer|listen|behind,rl_dist_0122,-0.005379994710285274,The writers behind the computer listens.,The writers behind the computer listen.,pp_singular_attractor_behind,pp_attractor,-10.802022298177084
-10.814894358317057,pp_singular_attractor_behind|authors+computer|listen|behind,rl_dist_0124,-0.005379994710285274,The authors behind the computer listens.,The authors behind the computer listen.,pp_singular_attractor_behind,pp_attractor,-10.809514363606771
-10.813957214355469,object_relative_clause_who|reporter+mechanic|knows+listens|,rl_dist_0059,-0.005377633231026024,The reporter who the mechanic knows listen.,The reporter who the mechanic knows listens.,object_relative_clause_who,relative_clause,-10.808579581124443
-10.812749590192523,object_relative_clause_plural_embedded_who|judge+visitors|know+listens|,rl_dist_0019,-0.00531005859375,The judge who the visitors know listen.,The judge who the visitors know listens.,object_relative_clause_plural_embedded_who,relative_clause,-10.807439531598773
-10.807186671665736,object_relative_clause_that|student+lawyer|sees+listens|,rl_dist_0048,-0.005307878766741325,The student that the lawyer sees listen.,The student that the lawyer sees listens.,object_relative_clause_that,relative_clause,-10.801878792898995
-10.810177394321986,object_relative_clause_plural_embedded_who|musician+brokers|observe+listens|,rl_dist_0032,-0.005305698939730874,The musician who the brokers observe listen.,The musician who the brokers observe listens.,object_relative_clause_plural_embedded_who,relative_clause,-10.804871695382255
-10.810043334960938,object_relative_clause_plural_embedded_that|dancer+mechanics|call+listens|,rl_dist_0006,-0.005303519112723976,The dancer that the mechanics call listen.,The dancer that the mechanics call listens.,object_relative_clause_plural_embedded_that,relative_clause,-10.804739815848214
-10.811126708984375,object_relative_clause_plural_embedded_that|manager+lawyers|help+listens|,rl_dist_0007,-0.005301339285713524,The manager that the lawyers help listen.,The manager that the lawyers help listens.,object_relative_clause_plural_embedded_that,relative_clause,-10.805825369698661
-10.847405751546225,pp_plural_attractor_with|robot+gardens|runs|with,rl_dist_0118,-0.005168914794921875,The robot with the gardens run.,The robot with the gardens runs.,pp_plural_attractor_with,pp_attractor,-10.842236836751303
-10.818339029947916,simple_singular|manager|writes|,rl_dist_0232,-0.005101521809894649,The manager write.,The manager writes.,simple_singular,simple_agreement,-10.813237508138021
-10.815436226981026,object_relative_clause_plural_embedded_who|student+clerks|like+moves|,rl_dist_0029,-0.005095345633369774,The student who the clerks like move.,The student who the clerks like moves.,object_relative_clause_plural_embedded_who,relative_clause,-10.810340881347656
-10.835426330566406,object_relative_clause_that|manager+girl|admires+listens|,rl_dist_0039,-0.0050029754638671875,The manager that the girl admires listen.,The manager that the girl admires listens.,object_relative_clause_that,relative_clause,-10.830423355102539
-10.815836588541666,simple_singular|driver|writes|,rl_dist_0224,-0.0049692789713535745,The driver write.,The driver writes.,simple_singular,simple_agreement,-10.810867309570312
-10.813836415608725,simple_singular|student|writes|,rl_dist_0215,-0.004779815673828125,The student write.,The student writes.,simple_singular,simple_agreement,-10.809056599934896
-10.818109300401476,object_relative_clause_plural_embedded_who|writer+librarians|trust+returns|,rl_dist_0021,-0.0047785441080723245,The writer who the librarians trust return.,The writer who the librarians trust returns.,object_relative_clause_plural_embedded_who,relative_clause,-10.813330756293404
-10.819388253348214,object_relative_clause_that|author+neighbor|likes+laughs|,rl_dist_0045,-0.004387991768972199,The author that the neighbor likes laugh.,The author that the neighbor likes laughs.,object_relative_clause_that,relative_clause,-10.815000261579241
-10.81337411063058,object_relative_clause_who|pilot+lawyer|questions+laughs|,rl_dist_0055,-0.004366193498883675,The pilot who the lawyer questions laugh.,The pilot who the lawyer questions laughs.,object_relative_clause_who,relative_clause,-10.809007917131696
-10.848871866861979,pp_singular_attractor_with|drivers+report|answer|with,rl_dist_0155,-0.004350026448566524,The drivers with the report answers.,The drivers with the report answer.,pp_singular_attractor_with,pp_attractor,-10.844521840413412
-10.811557224818639,object_relative_clause_plural_embedded_who|writer+doctors|question+moves|,rl_dist_0026,-0.00431387765067015,The writer who the doctors question move.,The writer who the doctors question moves.,object_relative_clause_plural_embedded_who,relative_clause,-10.807243347167969
-10.819932120186943,object_relative_clause_plural_embedded_that|reporter+visitors|question+moves|,rl_dist_0015,-0.0042877197265625,The reporter that the visitors question move.,The reporter that the visitors question moves.,object_relative_clause_plural_embedded_that,relative_clause,-10.81564440046038
-10.803587777273995,object_relative_clause_that|scientist+doctor|follows+laughs|,rl_dist_0037,-0.004286629813057274,The scientist that the doctor follows laugh.,The scientist that the doctor follows laughs.,object_relative_clause_that,relative_clause,-10.799301147460938
-10.812966482979911,object_relative_clause_that|teacher+neighbor|questions+moves|,rl_dist_0040,-0.004285539899553825,The teacher that the neighbor questions move.,The teacher that the neighbor questions moves.,object_relative_clause_that,relative_clause,-10.808680943080358
-10.821047101702009,object_relative_clause_plural_embedded_who|chef+coaches|follow+laughs|,rl_dist_0025,-0.004277910505022575,The chef who the coaches follow laugh.,The chef who the coaches follow laughs.,object_relative_clause_plural_embedded_who,relative_clause,-10.816769191196986
-10.815696716308594,object_relative_clause_who|guard+singer|trusts+moves|,rl_dist_0058,-0.0042539324079236,The guard who the singer trusts move.,The guard who the singer trusts moves.,object_relative_clause_who,relative_clause,-10.81144278390067
-10.834342956542969,pp_plural_attractor_with|guard+instruments|answers|with,rl_dist_0119,-0.00424957275390625,The guard with the instruments answer.,The guard with the instruments answers.,pp_plural_attractor_with,pp_attractor,-10.830093383789062
-10.822408403669085,object_relative_clause_that|judge+clerk|sees+moves|,rl_dist_0043,-0.00424630301339235,The judge that the clerk sees move.,The judge that the clerk sees moves.,object_relative_clause_that,relative_clause,-10.818162100655693
-10.821219308035714,object_relative_clause_plural_embedded_who|pilot+coaches|follow+moves|,rl_dist_0024,-0.0042266845703125,The pilot who the coaches follow move.,The pilot who the coaches follow moves.,object_relative_clause_plural_embedded_who,relative_clause,-10.816992623465401
-10.812120710100446,object_relative_clause_plural_embedded_who|author+mechanics|call+moves|,rl_dist_0018,-0.00422232491629515,The author who the mechanics call move.,The author who the mechanics call moves.,object_relative_clause_plural_embedded_who,relative_clause,-10.807898385184151
-10.808117457798549,object_relative_clause_plural_embedded_that|musician+visitors|admire+moves|,rl_dist_0009,-0.004222324916293374,The musician that the visitors admire move.,The musician that the visitors admire moves.,object_relative_clause_plural_embedded_that,relative_clause,-10.803895132882255
-10.801641191755023,object_relative_clause_that|nurse+farmer|guides+moves|,rl_dist_0036,-0.00421905517578125,The nurse that the farmer guides move.,The nurse that the farmer guides moves.,object_relative_clause_that,relative_clause,-10.797422136579241
-10.815646580287389,object_relative_clause_plural_embedded_who|boy+farmers|help+moves|,rl_dist_0022,-0.004216875348772575,The boy who the farmers help move.,The boy who the farmers help moves.,object_relative_clause_plural_embedded_who,relative_clause,-10.811429704938616
-10.815125601632255,object_relative_clause_plural_embedded_that|dog+doctors|support+moves|,rl_dist_0002,-0.004215785435269126,The dog that the doctors support move.,The dog that the doctors support moves.,object_relative_clause_plural_embedded_that,relative_clause,-10.810909816196986
-10.809271676199776,object_relative_clause_plural_embedded_that|manager+brokers|follow+moves|,rl_dist_0014,-0.00421142578125,The manager that the brokers follow move.,The manager that the brokers follow moves.,object_relative_clause_plural_embedded_that,relative_clause,-10.805060250418526
-10.806841169084821,plural_object_relative_clause_that|authors+mechanic|guides+work|,rl_dist_0080,-0.004210335867744774,The authors that the mechanic guides works.,The authors that the mechanic guides work.,plural_object_relative_clause_that,relative_clause,-10.802630833217076
-10.843270619710287,pp_plural_attractor_beside|reporter+cars|returns|beside,rl_dist_0096,-0.0040740966796875,The reporter beside the cars return.,The reporter beside the cars returns.,pp_plural_attractor_beside,pp_attractor,-10.8391965230306
-10.830190022786459,pp_singular_attractor_near|musicians+cabinet|smile|near,rl_dist_0146,-0.0040639241536464255,The musicians near the cabinet smiles.,The musicians near the cabinet smile.,pp_singular_attractor_near,pp_attractor,-10.826126098632812
-10.830814361572266,pp_plural_attractor_beside|teacher+reports|smiles|beside,rl_dist_0099,-0.004024505615234375,The teacher beside the reports smile.,The teacher beside the reports smiles.,pp_plural_attractor_beside,pp_attractor,-10.826789855957031
